Node Number	Directional Deformation (µm)
398	8.6929e-002
399	5.7832e-003
400	2.1674e-002
401	6.2353e-003
402	9.0918e-003
403	1.8276e-002
404	1.3906e-002
405	-5.6696e-002
406	1.4024
407	6.4227e-002
408	3.7785e-002
409	3.9098e-003
410	3.3141e-002
411	1.5057
412	1.4796
413	0.5498
414	4.2389e-002
415	1.5962
416	0.23558
417	0.15697
418	0.25386
419	0.5027
420	2.5646
421	4.1384e-002
422	1.1665e-002
423	5.4119e-002
424	4.6272e-002
425	1.0337e-002
426	1.1503e-002
427	2.967e-003
428	-2.2594e-004
429	8.9183e-002
430	8.4187e-003
431	0.11888
432	4.915e-003
433	-1.8184e-002
434	-4.532e-003
435	-1.296e-002
436	2.9688e-002
437	-2.8828e-003
438	3.9356e-003
439	7.6828e-003
440	7.3025e-003
441	0.49838
442	7.1326e-002
443	0.16483
444	9.1218e-003
445	1.0502
446	0.16423
447	0.32945
448	3.2503e-002
449	0.34765
450	1.6401
451	0.12658
452	0.18755
453	1.561e-002
454	-1.4015e-002
455	-2.6182e-003
456	-6.8992e-003
457	0.70328
458	5.6187e-002
459	0.72184
460	0.1029
461	0.38916
462	4.0546e-002
463	1.0883
464	0.20073
465	0.14969
466	0.16242
467	0.34189
468	1.6962
469	9.6014e-003
470	1.6864e-003
471	-4.9135e-002
472	-3.0637e-002
473	3.0093
474	1.193
475	0.39304
476	0.23227
477	-3.5502e-002
478	1.0193
479	-6.3875e-003
480	1.8299e-002
481	0.2092
482	0.95151
483	9.804e-003
484	-1.1523e-004
485	-1.5951e-002
486	-3.3889e-002
487	4.5074e-002
488	0.31374
489	1.0312e-003
490	0.3174
491	7.0485e-002
492	0.40622
493	0.30594
494	1.224
495	7.6971e-002
496	8.1498e-003
497	2.4518e-002
498	1.0849e-002
499	9.1374e-002
500	0.78791
501	-9.2627e-003
502	0.17774
503	0.85333
504	-3.6083e-002
505	0.4329
506	0.12894
507	6.1175e-002
508	0.66005
509	0.2079
510	0.65089
511	2.8809e-002
512	0.21673
513	1.4559
514	1.6915e-002
515	8.3757e-002
516	1.7584e-002
517	2.0277
518	0.16388
519	0.92221
520	3.0476e-002
521	0.38571
522	2.5004
523	-3.8844e-002
524	4.2863e-002
525	-1.3289e-002
526	1.0445e-002
527	5.3861e-003
528	7.1681e-003
529	8.5248e-003
530	4.8623e-002
531	0.1212
532	4.8899e-002
533	-4.0937e-003
534	4.9535e-003
535	7.7748e-003
536	-1.0532e-002
537	-7.4089e-004
538	3.4101e-003
539	0.81654
540	1.6702
541	1.6148
542	0.27616
543	0.1941
544	1.8596e-003
545	-9.6694e-003
546	-7.889e-003
547	4.9525e-003
548	1.699e-002
549	0.8582
550	9.3804e-002
551	1.7163
552	0.30336
553	6.7023e-003
554	6.9148e-003
555	1.5749e-002
556	4.2277e-003
557	1.5873e-003
558	1.8241e-002
559	0.89694
560	5.5743e-002
561	1.1147
562	3.0847e-002
563	0.91382
564	0.81029
565	0.22599
566	0.14179
567	2.5429
568	2.1757e-002
569	5.1846e-003
570	0.25981
571	0.21987
572	1.533
573	1.5555e-002
574	0.18756
575	2.5608
576	2.2781e-003
577	4.4769e-003
578	1.3823e-002
579	1.2827e-002
580	2.2002e-002
581	2.2919e-002
582	0.47739
583	3.0096
584	0.49992
585	2.5016
586	1.2544e-002
587	1.8495e-002
588	4.9203e-003
589	1.7615e-003
590	4.8717e-003
591	6.2198e-003
592	1.6463e-002
593	8.8823e-003
594	1.5611e-002
595	6.5891e-003
596	3.056
597	1.3931
598	0.7849
599	0.13572
600	0.95019
601	0.99837
602	9.1189e-003
603	2.3809e-002
604	2.0368e-002
605	2.0967e-002
606	9.0072e-002
607	-8.1641e-003
608	6.1224e-002
609	5.7088e-002
610	8.8864e-002
611	-6.6921e-003
612	3.3898e-003
613	-2.9193e-002
614	-8.0601e-004
615	7.5177e-002
616	4.1249e-002
617	0.38204
618	0.13822
619	-2.3294e-002
620	-4.4753e-002
621	0.63049
622	1.146
623	1.108
624	-1.7594e-003
625	1.89e-002
626	3.6626e-003
627	0.5771
628	0.13205
629	0.63061
630	1.1665
631	1.0917
632	1.1604e-002
633	3.0172e-003
634	1.5062e-003
635	-4.3556e-002
636	5.4341e-002
637	0.16781
638	0.11933
639	3.1855e-002
640	2.5671e-002
641	4.4659e-002
642	0.22042
643	0.94022
644	1.3646e-003
645	-1.1785e-002
646	0.59175
647	4.6492e-002
648	0.72672
649	7.7761e-002
650	0.59764
651	0.53158
652	0.13012
653	0.68726
654	1.687
655	3.0535e-002
656	-1.998e-002
657	-1.6294e-004
658	4.9866e-002
659	1.7835
660	-7.676e-003
661	-7.3881e-003
662	1.6462e-002
663	8.1517e-003
664	-1.0213e-002
665	0.11763
666	-1.0287e-002
667	1.4054
668	0.26089
669	-7.9604e-003
670	9.8396e-003
671	5.9743e-002
672	1.3682
673	1.3689e-002
674	0.22829
675	9.1225e-003
676	-3.8356e-003
677	-3.4341e-002
678	-1.8163e-002
679	7.1327e-004
680	1.9983e-002
681	6.1307e-002
682	5.902e-002
683	4.0215e-002
684	0.49583
685	6.0139e-002
686	0.4865
687	2.4372e-002
688	-3.4109e-002
689	-1.3413e-002
690	-1.9814e-002
691	-1.2331e-002
692	4.5686e-002
693	1.9095e-002
694	1.335e-002
695	1.1079e-002
696	1.8183e-002
697	7.1894e-002
698	0.61302
699	1.3157
700	7.5711e-002
701	6.2095e-002
702	0.55999
703	1.2076
704	5.1779e-002
705	8.4589e-002
706	9.3432e-003
707	1.8937
708	0.83266
709	4.2442e-002
710	6.5304e-002
711	1.8376
712	-4.4804e-003
713	5.5899e-003
714	8.5036e-002
715	1.3119e-003
716	-1.0798e-002
717	6.6892e-002
718	0.16397
719	1.4895e-002
720	1.7294e-002
721	7.649e-003
722	1.1731e-003
723	-1.6637e-002
724	-2.504e-003
725	8.8499e-002
726	2.1003e-002
727	1.8431
728	2.2955e-002
729	1.228e-003
730	4.0465e-002
731	6.525e-003
732	1.001e-002
733	-8.5291e-003
734	-7.3278e-004
735	-4.4659e-002
736	0.56176
737	2.1944e-002
738	-2.2903e-003
739	1.1923
740	0.38607
741	0.15941
742	0.2066
743	1.2416
744	5.0718e-002
745	0.14099
746	6.4932e-003
747	0.22388
748	0.65977
749	4.6788e-003
750	-9.6361e-003
751	0.12928
752	-2.463e-002
753	0.79249
754	0.22791
755	0.34137
756	0.71957
757	1.079
758	5.4074e-002
759	0.69152
760	0.31956
761	6.6838e-003
762	1.7884
763	0.4115
764	8.7469e-002
765	-8.5717e-003
766	1.3434e-002
767	0.12212
768	0.18353
769	1.0117e-003
770	6.9446e-002
771	1.2726e-002
772	0.76956
773	0.21228
774	9.0763e-003
775	0.24402
776	0.11473
777	2.4291e-003
778	1.0021
779	1.7027
780	5.5805e-002
781	2.9127e-002
782	0.85164
783	0.29741
784	1.709
785	9.6407e-002
786	0.85979
787	0.5076
788	0.12564
789	3.8381e-003
790	1.6843e-002
791	0.11972
792	0.27107
793	2.3226
794	0.31698
795	-1.3977e-002
796	1.2908e-002
797	4.8853e-002
798	-5.7603e-003
799	-5.2921e-003
800	1.5996
801	6.0277e-002
802	3.3716e-003
803	-2.4482e-002
804	0.18741
805	8.4786e-002
806	0.9845
807	0.28409
808	0.24374
809	0.44847
810	0.95774
811	-8.4573e-003
812	5.9394e-003
813	0.67708
814	-4.4462e-002
815	6.2133e-003
816	-3.9076e-003
817	9.2849e-003
818	5.8001e-003
819	5.8884e-002
820	1.3427e-002
821	-1.2159e-002
822	9.2346e-002
823	0.46918
824	1.451
825	0.11502
826	-1.3058e-002
827	4.4432e-003
828	0.18455
829	2.7934e-002
830	-5.8991e-003
831	1.5931
832	0.14961
833	0.10526
834	0.19389
835	-2.3953e-003
836	2.4427e-002
837	5.2041e-002
838	-2.2054e-002
839	-9.024e-003
840	1.423
841	0.34467
842	1.1316e-002
843	-4.5507e-002
844	0.43887
845	0.17479
846	2.4401e-002
847	2.7232e-002
848	1.1154
849	0.25679
850	1.9316
851	0.21943
852	0.42936
853	2.2569
854	2.4571
855	0.66101
856	0.13301
857	2.1443e-002
858	4.6286e-002
859	1.8796e-002
860	8.6909e-002
861	3.0839e-002
862	0.99107
863	0.16488
864	0.72678
865	7.8178e-002
866	8.8749e-002
867	4.8578e-002
868	3.1045e-002
869	-3.129e-002
870	-4.7707e-002
871	-6.052e-003
872	1.0897e-002
873	0.43177
874	2.0015e-002
875	0.81696
876	7.007e-002
877	2.0595e-002
878	-8.975e-003
879	0.37138
880	1.1657
881	-3.7515e-003
882	8.3142e-002
883	0.79641
884	0.33099
885	0.99981
886	7.7296e-002
887	0.24824
888	0.33558
889	0.38748
890	0.84151
891	0.26414
892	0.44831
893	0.15426
894	0.42157
895	6.6728e-003
896	0.2665
897	4.7984e-002
898	-3.2561e-002
899	-1.6548e-002
900	-1.4516e-003
901	8.821e-003
902	0.72839
903	0.16245
904	2.1101e-002
905	-2.2484e-003
906	0.50396
907	-4.4926e-002
908	2.5892e-003
909	0.12602
910	0.43571
911	0.37758
912	0.60953
913	5.9866e-003
914	1.7921e-002
915	8.4598e-002
916	8.1114e-002
917	0.49656
918	1.5145e-002
919	0.29934
920	6.191e-004
921	0.92907
922	0.40544
923	0.84037
924	0.3957
925	1.3593
926	8.4569e-002
927	-1.0191e-002
928	1.2882e-002
929	1.6985e-002
930	1.7041
931	0.79396
932	0.21367
933	1.4121
934	0.23743
935	6.7818e-002
936	1.6247e-002
937	1.405e-003
938	0.44754
939	0.12459
940	0.66491
941	-6.6013e-004
942	0.24618
943	8.7405e-003
944	-1.4129e-002
945	0.28732
946	4.8582e-002
947	0.31328
948	0.59711
949	-7.1891e-004
950	5.4956e-003
951	-6.9802e-004
952	1.6534e-003
953	4.0399e-002
954	1.8614
955	4.5467e-002
956	0.98269
957	1.4439e-002
958	2.5679e-004
959	-5.9356e-003
960	-3.648e-003
961	-2.4337e-003
